Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000104413,ESRP1,0.15745160389544105,1.1958372934919446,0.24257468576610067,0.06539574673406472,-1.1958372934919446,0.24257468576610067
ENSG00000156162,DPY19L4,0.3184160722602625,0.37172589644106946,1,0.24341750173235202,-0.37172589644106946,1
ENSG00000254307,AP003692.1,0.0003763783360050384,-2.8508559419560964,1,0,2.8508559419560964,1
ENSG00000164941,INTS8,0.3197961261589476,0.793000247818628,0.48504304893556666,0.18165485203906867,-0.793000247818628,0.48504304893556666
ENSG00000175305,CCNE2,0.05996961487013611,0.4680634030589266,0.9851622542334453,0.039964067448595104,-0.4680634030589266,0.9851622542334453
ENSG00000272509,AC087752.4,0.0008782161173450896,-1.8508559419560964,1,0,1.8508559419560964,1
ENSG00000156170,NDUFAF6,0.558921828967482,1.1621531186057656,0.18732517362381537,0.2470505987731334,-1.1621531186057656,0.18732517362381537
ENSG00000164938,TP53INP1,0.1608390089194864,0.34516649618861894,1,0.1235252993865667,-0.34516649618861894,1
ENSG00000253878,AC087752.3,0.0008782161173450896,-1.8508559419560964,1,0,1.8508559419560964,1
ENSG00000287322,AC068189.2,0.0005018377813400511,-2.5289278470687346,1,0,2.5289278470687346,1
ENSG00000245080,MIR3150BHG,0.0007527566720100768,-2.0435010198984926,1,0,2.0435010198984926,1
ENSG00000254248,AC068189.1,0.0032619455787103327,-0.09596843979262815,1,0,0.09596843979262815,1
ENSG00000175895,PLEKHF2,0.03450134746712852,-0.06425958006528987,1,0.03269787336703236,0.06425958006528987,1
ENSG00000253773,C8orf37-AS1,0.4976976196439958,1.149144058043903,0.22600737611136454,0.22161891948766377,-1.149144058043903,0.22600737611136454
ENSG00000253351,LINC01298,0.0008782161173450896,-1.8508559419560964,1,0,1.8508559419560964,1
ENSG00000156172,C8orf37,0.09622739457195481,1.412178463877697,0.17612034367278942,0.03269787336703236,-1.412178463877697,0.17612034367278942
ENSG00000253872,AC083836.1,0.002509188906700256,-2.0435010198984926,0.4978418968064688,0.007266194081562747,2.0435010198984926,0.4978418968064688
ENSG00000156466,GDF6,0.001254594453350128,-1.3914243233188,1,0,1.3914243233188,1
ENSG00000156467,UQCRB,0.17413771012499776,-1.4444480595121547,0.009843703807694941,0.4723026153015785,1.4444480595121547,0.009843703807694941
ENSG00000254224,AP003465.1,0.0032619455787103327,-0.09596843979262815,1,0,0.09596843979262815,1
ENSG00000156469,MTERF3,0.17790149348504813,0.7618219369768822,0.5570009308148475,0.10172671714187846,-0.7618219369768822,0.5570009308148475
ENSG00000156471,PTDSS1,0.18567997909581893,0.18964688700307608,1,0.15985626979438042,-0.18964688700307608,1
ENSG00000169439,SDC2,0.04102523862454918,-1.1937436554791057,0.1735547353033901,0.09082742601953434,1.1937436554791057,0.1735547353033901
ENSG00000104324,CPQ,0.5318225887751192,1.2682552699315779,0.14024848553573177,0.21798582244688242,-1.2682552699315779,0.14024848553573177
ENSG00000272249,AP003117.2,0.00012545944533501278,-3.8508559419560964,1,0,3.8508559419560964,1
ENSG00000270077,AP003117.1,0.0005018377813400511,-2.5289278470687346,1,0,2.5289278470687346,1
ENSG00000260640,AP003115.1,0.00025091889067002557,-3.2658934412349403,1,0,3.2658934412349403,1
ENSG00000180543,TSPYL5,0.08067042335041323,-0.8053412827037287,0.27865932107777885,0.1380576875496922,0.8053412827037287,0.27865932107777885
ENSG00000287654,AP002982.2,0.0007527566720100768,-2.0435010198984926,1,0,2.0435010198984926,1
ENSG00000147649,MTDH,0.7402107274765755,0.024836109864660783,1,0.7266194081562747,-0.024836109864660783,1
ENSG00000104341,LAPTM4B,0.29181866984923976,-0.6091149518899883,0.3271086153522781,0.44323783897532754,0.6091149518899883,0.3271086153522781
